model,K,Precision,Recall,HitRate,NDCG,Coverage,Novelty,ILD
Popularity,10,0.0,0.0,0.0,0.0,0.04058041218953673,9.234420188139456,
Popularity,20,0.0,0.0,0.0,0.0,0.04058041218953673,9.234420188139456,
Random,10,0.0,0.0,0.0,0.0,0.08395719570195526,16.34041764687705,
Random,20,0.0,0.0,0.0,0.0,0.08395719570195526,16.34041764687705,
CB_full,10,0.0,0.0,0.0,0.0,0.04115289765721332,9.275563159451485,
CB_full,20,0.0,0.0,0.0,0.0,0.04115289765721332,9.275563159451485,
CB_no_cast,10,0.002,0.02,0.02,0.015088912804029997,0.04077858023604016,9.262118435168173,
CB_no_cast,20,0.001,0.02,0.02,0.015088912804029997,0.04077858023604016,9.262118435168173,
MF,10,0.001,0.01,0.01,0.007153382790366965,0.04117491632904703,9.281652244097145,
MF,20,0.0007500000000000001,0.015,0.015,0.008466630465552934,0.04117491632904703,9.281652244097145,
Hybrid,10,0.0005,0.005,0.005,0.0016666666666666666,0.040844636251541305,9.273160116859529,
Hybrid,20,0.00025,0.005,0.005,0.0016666666666666666,0.040844636251541305,9.273160116859529,
